event-name,event-datetime,event-type,price,event-location,user-age,user-category,instagram,organizer,price_numeric_min,price_numeric_max,price_category,age_group_label,audience_size_estimate,dance_focus,dance_style,season,region,cross_border_potential
Museumsnacht Weil am Rhein,2025-09-20 18:00-24:00,Kultur / Museumsnacht,10-15 €,Weil am Rhein (mehrere Museen),16-70,Kultur- & Museumsfreunde,@stadtweilamrhein,Museen Weil am Rhein,10.0,15.0,günstig,Senior/All Ages,300-2000,Nein,None,Herbst,Lörrach/Weil,Ja
Kunstmarkt Riehen,2025-09-28 10:00-18:00,Kunstmarkt / Outdoor,kostenlos,"Riehen, Schweiz",alle Altersgruppen,Kunstliebhaber & Familien,@kultur_riehen,Kulturverein Riehen,,,teuer,unknown,unknown,Nein,None,Herbst,unknown,Nein
Food Truck Festival Basel,2025-10-10 bis 2025-10-12,Street Food / Genuss Festival,kostenlos (Essen/Trinken extra),"Basel, Kleinbasel",16-60,Foodies & Festivalbesucher,@foodtruckfestival,Food Truck Festival Basel,,,teuer,Midlife,>10000,Nein,Multigenre,Herbst,Basel,Ja
Weihnachtscircus Lörrach,2025-12-20 bis 2026-01-06,Circus / Familienunterhaltung,20-60 €,Lörrach Messegelände,alle Altersgruppen,Familien & Circusliebhaber,@weihnachtscircus,Weihnachtscircus Lörrach,20.0,60.0,teuer,unknown,unknown,Nein,None,Winter,Lörrach/Weil,Ja
Jugendkulturfestival Weil am Rhein,2025-09-13,Jugendkultur / Musik & Tanz / Workshop,kostenlos,Innenstadt Weil am Rhein,12-30,Jugend & junge Erwachsene,@jugendkulturweil,Stadt Weil am Rhein,,,teuer,Adults,500-5000,Ja,None,Herbst,Lörrach/Weil,Ja
Winterzauber Bad Säckingen,2025-11-28 bis 2025-12-22,Weihnachtsmarkt / Winterevent,kostenlos,Altstadt Bad Säckingen,alle Altersgruppen,Familien & Weihnachtsmarktbesucher,@badsaeckingen,Stadt Bad Säckingen,,,teuer,unknown,300-2000,Nein,None,Herbst,unknown,Nein
Lichterfest Basel,2025-10-15 bis 2025-10-20,Lichtkunst / Kunstfestival,kostenlos,Innenstadt Basel,alle Altersgruppen,Kunst- & Kulturfreunde,@basellive,Stadt Basel Kulturamt,,,teuer,unknown,>10000,Nein,Multigenre,Herbst,Basel,Ja
Fasnacht Kinderumzug Riehen,2026-02-24 14:00,Fasnacht / Kinderumzug,kostenlos,"Innenstadt Riehen, Schweiz",4-14,Kinder & Familien,@riehen_kultur,Fasnachtskomitee Riehen,,,teuer,Young Adults,300-2000,Nein,None,Winter,unknown,Nein
Welthaus Freiburg – Weltkino & Vorträge,2025-09-20 bis 2025-12-20 (monatlich),Film & Vorträge / Globalthemen,5-10 €,Welthaus Freiburg,18-70,Studierende & Kulturinteressierte,@welthaus_freiburg,Welthaus Freiburg,5.0,10.0,günstig,Senior/All Ages,unknown,Ja,Swing/Balboa,Herbst,Freiburg,Ja
Winterlichter Freiburg,2025-12-01 bis 2025-12-31,Weihnachtsmarkt & Lichtinstallation,kostenlos,Innenstadt Freiburg,alle Altersgruppen,Weihnachts- & Kulturfreunde,@freiburg_de,Stadt Freiburg,,,teuer,unknown,300-2000,Nein,None,Winter,Freiburg,Ja
Freibaderöffnung Parkschwimmbad Lörrach,2025-05-19,Outdoor / Schwimmbad-Event,5-10 €,Parkschwimmbad Lörrach,alle Altersgruppen,Familien & Sportfreunde,@stadt.loerrach,Stadtwerke Lörrach / Parkschwimmbad,5.0,10.0,günstig,unknown,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Impulsiv Lörrach – Freizeit & After Work Events,"2025 (laufend, z.B. Sommer-Events)",Freizeit / Sport / Social,variabel (5-20 €),"Impulsiv Freizeitcenter, Lörrach",16-50,Jugend & Erwachsene,@impulsivloerrach,Impulsiv Freizeitcenter Lörrach,5.0,20.0,mittel,Midlife,50-200,Nein,None,unknown,Lörrach/Weil,Ja
Fasnachts-Zunftabend Zänzeler e.V.,2026-02-07 20:00,Fasnacht / Vereinsabend,10-20 €,"Zänzeler Zunfthalle, Lörrach",16-70,Fasnacht- & Vereinsfreunde,@zanzeleclique,Zänzeler Fasnachtsverein Lörrach,10.0,20.0,mittel,Senior/All Ages,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Fasnachts-Seniorennachmittag Zänzeler,2026-02-08 14:00,Fasnacht / Seniorennachmittag,kostenlos,"Zänzeler Zunfthalle, Lörrach",60+,Senioren & Familien,@zanzeleclique,Zänzeler Fasnachtsverein Lörrach,,,teuer,Midlife,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Schüler-Weihnachtskonzert Musikschule Lörrach,2025-12-18 18:30,Schülerkonzert / Weihnachten,kostenlos,Städtische Musikschule Lörrach,alle Altersgruppen,Familien & Musikfreunde,@musikschule_loerrach,Musikschule Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk,2025-12-06 bis 2025-12-08,Weihnachtsmarkt / Kunsthandwerk,kostenlos,"St. Blasien, Schwarzwald",alle Altersgruppen,Weihnachtsmarkt- & Kunstfreunde,@stblasien,Stadt St. Blasien,,,teuer,unknown,300-2000,Nein,None,Winter,unknown,Nein
Bad Bellingen Lichterzauber,2025-12-15 bis 2025-12-23,Licht- & Winterevent,kostenlos,Kurpark Bad Bellingen,alle Altersgruppen,Familien & Winterbesucher,@bad_bellingen,Tourismus Bad Bellingen,,,teuer,unknown,unknown,Nein,None,Winter,unknown,Nein
Basel Tattoo 2026,2026-07 (genaues Datum folgt),Musik / Show / Großveranstaltung,40-120 CHF,Kaserne Basel,alle Altersgruppen,Musik- & Showfans,@baseltattoo,Basel Tattoo Productions,40.0,120.0,teuer,unknown,unknown,Nein,None,unknown,Basel,Ja
Stage X – Offene Bühne Freiburg,monatlich (jeden 3. Donnerstag),Open Mic / Musik / Community,kostenlos,Kulturhaus Freiburg Innenstadt,16-50,Musiker & Musikfans,@stagexfreiburg,Stage X Freiburg,,,teuer,Midlife,unknown,Nein,None,unknown,Freiburg,Ja
Weihnachtszauber Weil am Rhein,2025-12-01 bis 2025-12-23,Weihnachtsmarkt / Advent,kostenlos,Innenstadt Weil am Rhein,alle Altersgruppen,Weihnachtsmarktbesucher,@stadt_weilamrhein,Stadt Weil am Rhein,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Zumba Flashmob Basel,2025-09-05 18:00,Tanz / Social / Flashmob,kostenlos,Münsterplatz Basel,12-50,Tanzbegeisterte & Fitnessfreunde,@zumba_basel,Zumba Community Basel,,,teuer,Midlife,50-200,Ja,None,Herbst,Basel,Ja
Seniorenball Lörrach,2025-11-22 19:30,Ball / Tanzveranstaltung,15-30 €,Burghof Lörrach,60+,Senioren & Tanzfreunde,@burghofloerrach,Burghof Lörrach GmbH,15.0,30.0,mittel,Midlife,50-200,Ja,Swing/Balboa,Herbst,Lörrach/Weil,Ja
Adventskonzert Basel Musikverein,2025-12-05 19:00,Konzert / Adventsmusik,20-50 CHF,Musikverein Basel,30-80,Klassik- & Konzertfreunde,@musikvereinbasel,Basler Musikverein,20.0,50.0,teuer,Senior/All Ages,unknown,Nein,None,Winter,Basel,Ja
Weihnachtsmarkt Riehen,2025-11-27 bis 2025-12-23,Weihnachtsmarkt / Advent,kostenlos,"Innenstadt Riehen, Schweiz",alle Altersgruppen,Weihnachtsmarktbesucher,@riehenkultur,Stadt Riehen,,,teuer,unknown,300-2000,Nein,None,Herbst,unknown,Nein
Lörrach Open Air Sommerkonzert,2025-07-17 20:00,Open Air Konzert / Pop / Rock,20-60 €,Burghof Lörrach Außenbühne,16-60,Konzertbesucher,@burghofloerrach,Burghof Lörrach GmbH,20.0,60.0,teuer,Midlife,unknown,Nein,None,Sommer,Lörrach/Weil,Ja
Kunstnacht Weil am Rhein,2025-10-11 18:00-24:00,Kultur / Kunst & Musik / Nachtveranstaltung,10-20 €,Innenstadt Weil am Rhein,16-70,Kunst- & Kulturfreunde,@stadtweilamrhein,Kulturamt Weil am Rhein,10.0,20.0,mittel,Senior/All Ages,300-2000,Nein,None,Herbst,Lörrach/Weil,Ja
Volksball Maulburg,2026-01-30 19:30,Ball / Tanzveranstaltung,15-30 €,Gemeindehalle Maulburg,18-70,Tanz- & Gesellschaftsfreunde,@maulburg_event,Gemeinde Maulburg,15.0,30.0,mittel,Senior/All Ages,50-200,Ja,Swing/Balboa,Winter,unknown,Nein
Weihnachtskonzert der Stadtkapelle Lörrach,2025-12-20 18:00,Konzert / Weihnachten,kostenlos,Stadthalle Lörrach,alle Altersgruppen,Familien & Musikliebhaber,@stadtkapelleloerrach,Stadtkapelle Lörrach,,,teuer,unknown,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Tanz in den Mai Freiburg,2026-04-30 20:00,Party / Tanz / Mai-Fest,10-20 €,Innenstadt Freiburg,16-40,Party- & Tanzfreunde,@freiburg_de,Stadt Freiburg,10.0,20.0,mittel,Adults,300-2000,Ja,None,Frühling,Freiburg,Ja
OpenAir Kino Kleinbasel,2026-07 (jeden Mittwoch),Open-Air Kino / Film,10-15 CHF,"Kleinbasel, Basel",alle Altersgruppen,Filmfans & Familien,@openairkino_basel,OpenAir Kino Basel,10.0,15.0,günstig,unknown,unknown,Nein,None,unknown,Basel,Ja
Food & Wine Night Rheinfelden,2025-10-15 18:00,Genuss / Wein & Kulinarik,20-40 €,Altstadt Rheinfelden,25-65,Weinliebhaber & Genießer,@rheinfelden_event,Tourismus Rheinfelden,20.0,40.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,unknown,Nein
Weihnachtszauber Müllheim,2025-12-01 bis 2025-12-23,Weihnachtsmarkt / Advent,kostenlos,Innenstadt Müllheim (Baden),alle Altersgruppen,Weihnachtsmarkt-Besucher,@stadt.muellheim,Stadt Müllheim,,,teuer,unknown,300-2000,Nein,None,Winter,unknown,Nein
Seniorenfasnacht Lörrach,2026-02-24 14:00,Fasnacht / Seniorennachmittag,kostenlos,Innenstadt Lörrach,60+,Senioren & Fasnachtsfreunde,@narrenzunft.loerrach,Senioreninitiative Lörrach,,,teuer,Midlife,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Markt der Genüsse Freiburg,2025-10-10 11:00-18:00,Genuss / Markt / Kulinarik,kostenlos,Münsterplatz Freiburg,alle Altersgruppen,Foodies & Marktbesucher,@freiburg_de,Stadt Freiburg,,,teuer,unknown,unknown,Nein,None,Herbst,Freiburg,Ja
Fasnacht Zofingen – Gastauftritt Lörracher Cliquen,2026-02-21,Fasnacht / Umzug,kostenlos,"Innenstadt Zofingen, Schweiz",alle Altersgruppen,Fasnachtsfreunde,@zofingenfasnacht,Fasnachtskomitee Zofingen,,,teuer,unknown,300-2000,Nein,None,Winter,unknown,Nein
Basel Marathon Expo,2026-04-13,Sportmesse / Marathon Rahmenprogramm,kostenlos,Messeplatz Basel,16-70,Sport- & Marathonfans,@baselmarathon,Basel Marathon,,,teuer,Senior/All Ages,unknown,Nein,None,Frühling,Basel,Ja
Kinderweihnachtsmarkt Lörrach,2025-12-13 14:00-20:00,Weihnachtsmarkt / Familien,kostenlos,"Senser Platz & Hebelpark, Lörrach",3-14,Kinder & Familien,@stadt.loerrach,Stadt Lörrach,,,teuer,Young Adults,300-2000,Nein,None,Winter,Lörrach/Weil,Ja
Campus Open Day Universität Freiburg,2026-06-05,Bildung / Tag der offenen Tür,kostenlos,Universität Freiburg,16-60,Studierende & Familien,@uni_freiburg,Universität Freiburg,,,teuer,Midlife,unknown,Nein,None,Sommer,Freiburg,Ja
Winterlauf Lörrach,2026-01-15 10:00,Laufveranstaltung / Sport,10-20 €,Innenstadt Lörrach,16-60,Läufer & Sportfreunde,@laufloerrach,Stadt Lörrach,10.0,20.0,mittel,Midlife,unknown,Nein,None,Winter,Lörrach/Weil,Ja
Gondwana Festival Basel,2025-10-10 bis 2025-10-12,Musik / Indie Festival,40-80 CHF,"Basel, verschiedene Locations",18-40,Festivalbesucher & Musikfans,@gondwanafestival,Gondwana Festival Basel,40.0,80.0,teuer,Adults,>10000,Nein,Multigenre,Herbst,Basel,Ja
Theater Freiburg – Der Besuch der alten Dame,2025-11-28 20:00,Theater / Schauspiel,15-40 €,Stadttheater Freiburg,16-80,Theater- & Kulturfreunde,@theater.freiburg,Theater Freiburg,15.0,40.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,Freiburg,Ja
Winterball Weil am Rhein,2026-02-13 19:30,Ball / Tanzveranstaltung,20-40 €,Kulturzentrum Weil am Rhein,18-70,Tanz- & Ballfreunde,@stadtweilamrhein,Stadt Weil am Rhein,20.0,40.0,mittel,Senior/All Ages,50-200,Ja,Swing/Balboa,Winter,Lörrach/Weil,Ja
Jugend Theaterworkshop Basel,2025-10-20 bis 2025-10-25,Workshop / Theater / Jugend,50-100 CHF,Theater Basel,12-20,Jugendliche & Theaterfreunde,@theaterbasel,Theater Basel,50.0,100.0,teuer,Young Adults,unknown,Nein,None,Herbst,Basel,Ja
Weihnachtskonzert Basel Cathedral Choir,2025-12-13 19:30,Konzert / Advent / Klassik,20-40 CHF,"Basler Münster, Basel",25-80,Klassikfreunde,@baselermuenster,Basel Cathedral Choir,20.0,40.0,mittel,Senior/All Ages,unknown,Nein,None,Winter,Basel,Ja
Open House Vitra Design Museum,2026-05-08,Kunst / Design / Ausstellungstag,kostenlos,"Vitra Campus, Weil am Rhein",16-70,Kunst- & Designfreunde,@vitra,Vitra Design Museum,,,teuer,Senior/All Ages,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Sommerfest Jugendhaus Rheinfelden,2025-08-12,Stadtteilfest / Musik & Kinderprogramm,kostenlos,Jugendhaus Rheinfelden,alle Altersgruppen,Familien & Jugendliche,@jugendhaus_rheinfelden,Jugendhaus Rheinfelden,,,teuer,unknown,unknown,Nein,None,Sommer,unknown,Nein
Mittelaltermarkt Burg Rötteln,2026-05-17 bis 2026-05-19,Mittelaltermarkt / Kultur / Markt,10-20 €,"Burg Rötteln, Lörrach",alle Altersgruppen,Familien & Mittelalterfans,@burgroetteln,Burg Rötteln Förderverein,10.0,20.0,mittel,unknown,500-5000,Nein,None,Frühling,Lörrach/Weil,Ja
Theater Freiburg – Hexenabend,2025-10-31 20:00,Theater / Schauspiel / Halloween,15-35 €,Theater Freiburg,16-60,Theater- & Halloweenfreunde,@theater.freiburg,Theater Freiburg,15.0,35.0,mittel,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Neujahrskonzert Kurhaus Badenweiler,2026-01-02 19:30,Konzert / Klassik / Neujahr,20-50 €,Kurhaus Badenweiler,30-80,Klassik- & Kulturfreunde,@kurhaus_badenweiler,Kurhaus Badenweiler,20.0,50.0,teuer,Senior/All Ages,unknown,Nein,None,Winter,Lörrach/Weil,Ja
Museumsnacht Freiburg,2026-05-14 18:00-24:00,Kultur / Nachtveranstaltung,10-20 €,Innenstadt Freiburg (Museen),16-70,Kultur- & Museumsfreunde,@freiburg_de,Museen Freiburg,10.0,20.0,mittel,Senior/All Ages,300-2000,Nein,None,Frühling,Freiburg,Ja
Basel Läuft Benefizlauf,2026-05-09 10:00,Sport / Laufveranstaltung,20-40 CHF,Innenstadt Basel,16-60,Läufer & Sportfreunde,@basel_laeuft,Basel Läuft Organisation,20.0,40.0,mittel,Midlife,unknown,Nein,None,Frühling,Basel,Ja
Open Stage Jazzclub Freiburg,2025-11-05 20:30,Jazz / Open Stage / Musik,10-20 €,Jazzhaus Freiburg,18-70,Jazzliebhaber & Musiker,@jazzhausfreiburg,Jazzhaus Freiburg,10.0,20.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,Freiburg,Ja
Kindertheater – Rabe Socke,2025-12-12 15:00,Theater / Kindertheater,10-20 €,Stadttheater Freiburg,3-10,Kinder & Familien,@theater.freiburg,Theater Freiburg,10.0,20.0,mittel,Young Adults,unknown,Nein,None,Winter,Freiburg,Ja
Weihnachts-Zauber Basel,2025-11-25 bis 2025-12-24,Weihnachtsmarkt / Winterevent,kostenlos,Innenstadt Basel,alle Altersgruppen,Weihnachtsmarktbesucher,@basellive,Stadt Basel,,,teuer,unknown,300-2000,Nein,None,Herbst,Basel,Ja
Theater Lörrach – Kabale und Liebe,2026-03-05 19:30,Theater / Schauspiel,15-35 €,Stadttheater Lörrach,16-80,Theaterfreunde,@theaterloerrach,Theater Lörrach,15.0,35.0,mittel,Senior/All Ages,unknown,Nein,None,Frühling,Lörrach/Weil,Ja
Afterwork Vinyl & Drinks Basel,2025-10-15 18:00-21:00,Musik / Social / DJ Event,kostenlos (Drinks extra),Sudhaus Basel,20-50,Afterwork- & Musikfans,@sudhausbasel,Sudhaus Basel,,,teuer,Midlife,50-200,Nein,None,Herbst,Basel,Ja
Trailrunning Festival Schwarzwald,2025-09-14,Sport / Outdoor / Running,30-60 €,Schwarzwald Region bei Freiburg,18-55,Läufer & Outdoor-Fans,@trailrun_schwarzwald,Trailrunning Community Schwarzwald,30.0,60.0,teuer,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Gospel Weihnachtskonzert Basel,2025-12-19 20:00,Konzert / Gospel / Weihnachten,20-40 CHF,Johanneskirche Basel,alle Altersgruppen,Gospelfreunde & Familien,@basel_gospel,Johanneskirche Basel,20.0,40.0,mittel,unknown,300-2000,Nein,None,Winter,Basel,Ja
2nd Chamber Concert Freiburg,2025-11-23 11:00,Kammerkonzert / Klassik,15-30 €,"Theater Freiburg, Winterer-Foyer",25-70,Klassik- & Musikliebhaber,@theater.freiburg,Theater Freiburg,15.0,30.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,Freiburg,Ja
"Kulturfilm – Amazones, femmes guerrières de l'Antiquité",2025-09-22 18:00,Film / Vortrag / Kultur,5-10 €,Universität Freiburg,18-60,Studierende & Kulturinteressierte,@uni_freiburg,Universität Freiburg,5.0,10.0,günstig,Midlife,500-5000,Nein,None,Herbst,Freiburg,Ja
Sinu Konzert Freiburg,2025-11-21 20:00,Konzert / Popmusik,20-40 €,"Hilda5, Freiburg",16-40,Popmusikfans & junge Erwachsene,@sinu_music,Kulturaggregat Freiburg,20.0,40.0,mittel,Adults,unknown,Nein,None,Herbst,Freiburg,Ja
Create. Rheinfall Festival,2025-07-05,Festival / Elektronische Musik,25-50 CHF,Neuhausen am Rheinfall,18-35,Festivalcrowd & EDM-Fans,@create_rheinfall,Create. Festival,25.0,50.0,teuer,Adults,>10000,Nein,Multigenre,Sommer,unknown,Nein
Neujahrslauf Weil am Rhein,2026-01-01 11:00,Laufveranstaltung / Sport,10-20 €,Innenstadt Weil am Rhein,16-60,Läufer & Sportfreunde,@stadtweilamrhein,Stadt Weil am Rhein,10.0,20.0,mittel,Midlife,unknown,Nein,None,Winter,Lörrach/Weil,Ja
Theater Freiburg – Faust,2026-01-15 19:30,Theater / Schauspiel / Klassiker,20-50 €,Stadttheater Freiburg,16-80,Theaterliebhaber,@theater.freiburg,Theater Freiburg,20.0,50.0,teuer,Senior/All Ages,unknown,Nein,None,Winter,Freiburg,Ja
Autorenlesung Literaturhaus Basel,2025-10-11 20:00,Lesung / Literatur,10-20 CHF,Literaturhaus Basel,18-70,Literaturfreunde,@literaturhausbasel,Literaturhaus Basel,10.0,20.0,mittel,Senior/All Ages,unknown,Nein,None,Herbst,Basel,Ja
Open House Baumwipfelpfad Schwarzwald,2025-09-27,Outdoor / Tourismus / Familie,kostenlos,Baumwipfelpfad Schwarzwald,alle Altersgruppen,Familien & Naturfreunde,@baumwipfelpfad_schwarzwald,Baumwipfelpfad Schwarzwald,,,teuer,unknown,unknown,Nein,None,Herbst,unknown,Nein
Weihnachtschor Aachen – Gastspiel Basel,2025-12-20 19:00,Konzert / Chormusik / Weihnachten,20-40 CHF,"St. Elisabeth Kirche, Basel",alle Altersgruppen,Klassik- & Chormusikfreunde,@chorbasel,Gastchor Aachen & Kirche St. Elisabeth Basel,20.0,40.0,mittel,unknown,300-2000,Nein,None,Winter,Basel,Ja
Basler Herbstmesse,2025-10-25 bis 2025-11-09,Herbstmesse / Stadtfest / Kirmes,kostenlos (Fahrgeschäfte & Essen extra),Innenstadt Basel,alle Altersgruppen,Familien & Stadtfest-Besucher,@basellive,Stadt Basel,,,teuer,unknown,unknown,Nein,None,Herbst,Basel,Ja
Lörrach Spring Festival – Lörrach swingt,2025-04-12 bis 2025-04-13,Stadtfest / Musik & Kultur,kostenlos,Marktplatz Lörrach,alle Altersgruppen,Familien & Musikfreunde,@stadt.loerrach,Pro Lörrach e.V.,,,teuer,unknown,500-5000,Nein,None,Frühling,Lörrach/Weil,Ja
Stimmen Festival 2025 – Voodoo Jürgens Opening,2025-06-26 20:00,Konzert / Festival,40-80 €,Burghof Lörrach,18-60,Festivalbesucher & Musikfans,@stimmenfestival,Burghof Lörrach GmbH,40.0,80.0,teuer,Midlife,>10000,Nein,Multigenre,Sommer,Lörrach/Weil,Ja
"Burghof Konzerte Lörrach (Fannie, Brueder Selke, Bummelkasten)",2025-11-05 bis 2025-12-20,Konzert / Live Musik,20-40 €,Burghof Lörrach,16-60,Konzertbesucher,@burghofloerrach,Burghof Lörrach GmbH,20.0,40.0,mittel,Midlife,unknown,Nein,None,Herbst,Lörrach/Weil,Ja
Cityfest Rheinfelden mit City-Kirmes,2025-06-19 bis 2025-06-22,Stadtfest / Kirmes / Markt,kostenlos (Attraktionen extra),Innenstadt Rheinfelden (Baden),alle Altersgruppen,Community & Festbesucher,@stadt_rheinfelden,Stadt Rheinfelden,,,teuer,unknown,unknown,Nein,None,Sommer,unknown,Nein
Festival der Kulturen Rheinfelden,2025-05-30 bis 2025-06-01,Markt / Kultur / International,kostenlos,Innenstadt Rheinfelden (Baden),18-70,Kultur- & Weltoffenheitsinteressierte,@rheinfelden_events,Bak Roots & Stadt Rheinfelden,,,teuer,Senior/All Ages,500-5000,Nein,None,Frühling,unknown,Nein
Bio-Herbstmarkt Freiburg,2025-09-27,Markt / Genuss / Regional,kostenlos (Produkte extra),Innenstadt Freiburg,alle Altersgruppen,Genussliebhaber & Marktbesucher,@freiburg_de,Stadt Freiburg,,,teuer,unknown,unknown,Nein,None,Herbst,Freiburg,Ja
Max Raabe & Palast Orchester – Freiburg,2025-10-02 20:00,Konzert / Musik / Nostalgie,50-90 €,Konzerthaus Freiburg,30-70,Konzertliebhaber & Nostalgiefans,@maxraabe_official,Palast Orchester & Konzerthaus Freiburg,50.0,90.0,teuer,Senior/All Ages,unknown,Nein,None,Herbst,Freiburg,Ja
Faisal Kawusi – Comedy Show Freiburg,2025-10-17 20:00,Comedy / Bühne,35-50 €,"Bürgerhaus Zähringen, Freiburg",20-60,Comedyfans & Abend-Ausgeher,@faisal.kawusi,Faisal Kawusi Tourmanagement,35.0,50.0,teuer,Midlife,unknown,Nein,None,Herbst,Freiburg,Ja
Foire aux Vins d’Alsace Colmar,2025-07-25 bis 2025-08-03,Festival / Wein / Musik,20-80 €,"Parc des Expositions, Colmar",25-65,Weinliebhaber & Festivalgänger,@foirecolmar,Parc Expo Colmar,20.0,80.0,teuer,Senior/All Ages,>10000,Nein,Multigenre,Sommer,unknown,Nein
Weihnachtsmarkt Eguisheim,2025-11-21 bis 2025-12-31,Weihnachtsmarkt / Advent,kostenlos (Konsum extra),"Eguisheim, Elsass",alle Altersgruppen,Familien & Weihnachtsmarktbesucher,@eguisheim_officiel,Ville d’Eguisheim,,,teuer,unknown,300-2000,Nein,None,Herbst,unknown,Nein
Bauernhofkonzert Sternensee Stegen-Eschbach,2025-07-03 18:30,Konzert / Open Air / Musik,30 €,"Hummelhof, Stegen-Eschbach (Schwarzwald)",20-60,Musikfans & Outdoorliebhaber,@schwarzwald_events,Hummelhof Stegen-Eschbach,30.0,30.0,mittel,Midlife,unknown,Nein,None,Sommer,unknown,Nein
Basler Marionetten – Kindertheater Pumuckl,2025-10-05 15:00,Kindertheater / Familie,15-30 CHF,Basel Marionetten Theater,3-12,Kinder & Familien,@baslermarionetten,Basler Marionetten Theater,15.0,30.0,mittel,Young Adults,unknown,Nein,None,Herbst,Basel,Ja
Wanderführung 'Eine Spur wilder' Schwarzwald,2025-09-16 11:00-15:00,Outdoor / Natur / Führung,5-15 €,"Schwarzwald Nationalpark, Tonbachtal",alle Altersgruppen,Naturinteressierte & Familien,@nationalpark_schwarzwald,Nationalpark Schwarzwald,5.0,15.0,günstig,unknown,unknown,Nein,None,Herbst,unknown,Nein
