event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description,event_date,event_time,weekday,month,country,city,latitude,longitude
Newcomer*innen Poetry Slam Freiburg,2025-09-26 19:00:00,,,,Poetry Slam / Jugend,Nein,None,10.0,15.0,EUR,paid,mid,,,unknown,16.0,30.0,All Ages,"Haus der Jugend, Freiburg",Freiburg (DE),Autumn,Ja,Jugendliche & junge Erwachsene,Poetry Slam Freiburg,https://www.instagram.com/poetryslamfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Newcomer*innen Poetry Slam Freiburg findet in Haus der Jugend, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-26,19:00,Friday,9.0,DE,Freiburg,47.999,7.8421
Summer Night Cinema im Schwarzen Kloster Freiburg,2025-06-28 20:25:00,,,,Open-Air Kino,Nein,None,12.0,12.0,EUR,paid,mid,,,unknown,,,All Ages,"Schwarzes Kloster Innenhof, Freiburg",Freiburg (DE),Summer,Ja,Filmfans & Sommerpublikum,Sommernachtskino Freiburg,https://www.instagram.com/sommernachtskino/,https://www.freiburg.de/pb/1176329.html,0.3,"Summer Night Cinema im Schwarzen Kloster Freiburg findet in Schwarzes Kloster Innenhof, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-06-28,20:25,Saturday,6.0,DE,Freiburg,47.999,7.8421
22 Bahnen Kinoveranstaltungen,2025-09-14 20:25:00,,,,Kino / Filmvorführung,Nein,None,5.0,12.0,EUR,paid,low,,,unknown,18.0,60.0,All Ages,"CinemaxX & Kandelhof Kino, Freiburg",Freiburg (DE),Autumn,Ja,Kino- & Filmpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://friedrichsbau-kino.de/programm/,0.9,"22 Bahnen Kinoveranstaltungen findet in CinemaxX & Kandelhof Kino, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-14,20:25,Sunday,9.0,DE,Freiburg,47.999,7.8421
PDC Swiss Darts Trophy,2025-09-26 20:25:00,,,,Sport / Wettbewerb,Nein,None,30.0,80.0,CHF,paid,mid,,,unknown,20.0,50.0,All Ages,"St. Jakobshalle, Basel",Basel (CH),Autumn,Ja,Sportfans & Zuschauer,PDC Europe,https://www.instagram.com/officialpdc/,https://www.swiss-darts-trophy.ch/en,0.3,"PDC Swiss Darts Trophy findet in St. Jakobshalle, Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-26,20:25,Friday,9.0,CH,Basel,47.5596,7.5886
Simon & Garfunkel Tribute Concert,2025-10-17 19:30:00,,,,Konzert / Tribute Show,Nein,None,40.0,80.0,CHF,paid,high,,,unknown,30.0,70.0,All Ages,Stadtcasino Basel,Basel (CH),Autumn,Ja,Konzert- & Musikfans,Stadtcasino Basel,https://www.instagram.com/stadtcasino_basel/,https://www.simonandgarfunkelthroughtheyears.com/events/stadtcasino-musiksaal-basel-1,0.2,"Simon & Garfunkel Tribute Concert findet in Stadtcasino Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-17,19:30,Friday,10.0,CH,Basel,47.5596,7.5886
Mona Vetsch & Tom Gisler: Im mittleren Alter,2025-10-25 20:00:00,,,,Bühne / Humor / Talkshow,Nein,None,30.0,60.0,CHF,paid,mid,,,unknown,30.0,65.0,All Ages,Volkshaus Basel,Basel (CH),Autumn,Ja,Kabarett- & Kulturpublikum,Volkshaus Basel,https://www.instagram.com/volkshausbasel/,https://www.volkshaus-basel.ch/programm/,0.9,"Mona Vetsch & Tom Gisler: Im mittleren Alter findet in Volkshaus Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-25,20:00,Saturday,10.0,CH,Basel,47.5596,7.5886
Kommunales Kino Freiburg – Filmprogramm,2025-09-27 20:25:00,,,,Filmfestival / Kino,Nein,Multigenre,8.0,12.0,EUR,paid,low,10000.0,,large (>500),18.0,60.0,All Ages,"Kommunales Kino, Freiburg",Freiburg (DE),Autumn,Ja,Film- & Kulturpublikum,Kommunales Kino Freiburg,https://www.instagram.com/koki_freiburg/,https://www.koki-freiburg.de/,0.9,"Kommunales Kino Freiburg – Filmprogramm findet in Kommunales Kino, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-27,20:25,Saturday,9.0,DE,Freiburg,47.999,7.8421
Baloise Session Basel,2025-10-15 20:25:00,,,,Musikfestival / Clubkonzerte,Nein,Multigenre,50.0,150.0,CHF,paid,high,10000.0,,large (>500),20.0,65.0,All Ages,Basel,Basel (CH),Autumn,Ja,Festival- & Musikliebhaber,Baloise Session,https://www.instagram.com/baloisesession/,https://www.baloisesession.ch/en,0.9,"Baloise Session Basel findet in Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-15,20:25,Wednesday,10.0,CH,Basel,47.5596,7.5886
Canoë-Kayak Mulhouse Riedisheim Session,2025-09-18 00:00:00,,,,Outdoor / Kanu & Kayak,Nein,None,15.0,30.0,EUR,paid,mid,,,unknown,12.0,50.0,All Ages,"Mulhouse-Riedisheim, Frankreich",Mulhouse (FR),Autumn,Nein,Outdoor- & Wassersport-Fans,Canoë-Kayak Club Mulhouse Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.canoekayakmulhouse.fr/,0.9,"Canoë-Kayak Mulhouse Riedisheim Session findet in Mulhouse-Riedisheim, Frankreich, Mulhouse statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,00:00,Thursday,9.0,FR,Mulhouse,47.7508,7.3359
Parc des Eaux Vives Huningue Wildwasser,2025-09-18 00:00:00,,,,Wildwasser / Kanu / Kayak,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,12.0,50.0,All Ages,"Parc des Eaux Vives, Huningue",Huningue (FR),Autumn,Nein,Wildwasser-Sportler,Parc des Eaux Vives Huningue,https://www.instagram.com/parc_eaux_vives/,https://parc-eaux-vives.com/,0.8,"Parc des Eaux Vives Huningue Wildwasser findet in Parc des Eaux Vives, Huningue, Huningue statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,00:00,Thursday,9.0,FR,Huningue,47.6053,7.5795
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,https://www.instagram.com/bloodereclique/,https://www.bloodereclique.de,0.3,"Bloodere Clique Lörrach – Fasnachtsumzug findet in Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Storchen-Clique Hauingen – Fasnachtsauftritt,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Hauingen (Lörrach),Lörrach (DE),Winter,Ja,Tradition & Fasnacht,Storchen-Clique Hauingen e.V.,https://www.instagram.com/storchencliquehauingen/,https://www.storchenclique.de,0.3,"Storchen-Clique Hauingen – Fasnachtsauftritt findet in Hauingen (Lörrach), Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Brunnenputzer Lörrach – Fasnacht,2026-02-23 20:26:00,,,,Fasnacht / Straßenumzug,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtum,Brunnenputzer Lörrach,https://www.instagram.com/brunnenputzer/,https://www.brunnenputzer-loerrach.de,0.3,"Brunnenputzer Lörrach – Fasnacht findet in Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,,https://www.fasnacht-loerrach.de,0.9,"Bloodere Clique Lörrach – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Brunnenputzer Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Brunnenputzer Lörrach,,https://www.fasnacht-loerrach.de,0.9,"Brunnenputzer Lörrach – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Clunggi Haltingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Clunggi Haltingen,,https://www.fasnacht-loerrach.de,0.9,"Clunggi Haltingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Alti Fabriknäscht Cligge Friedlingen,,https://www.fasnacht-loerrach.de,0.9,"Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Altwiiler Räbbuure – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Altwiiler Räbbuure,,https://www.fasnacht-loerrach.de,0.9,"Altwiiler Räbbuure – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Auggener Räbchnurre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Auggener Räbchnurre,,https://www.fasnacht-loerrach.de,0.9,"Auggener Räbchnurre – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Bachratte Eimeldingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bachratte Eimeldingen,,https://www.fasnacht-loerrach.de,0.9,"Bachratte Eimeldingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Bärebrummer Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bärebrummer Friedlingen,,https://www.fasnacht-loerrach.de,0.9,"Bärebrummer Friedlingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Baumfrevler Maulburg – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Baumfrevler Maulburg,,https://www.fasnacht-loerrach.de,0.9,"Baumfrevler Maulburg – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Beelze Buebe Kandern – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Beelze Buebe Kandern,,https://www.fasnacht-loerrach.de,0.9,"Beelze Buebe Kandern – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Belchengeister & Chäsliwieber Münstertal,,https://www.fasnacht-loerrach.de,0.9,"Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Storchen-Clique Hauingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Storchen-Clique Hauingen,,https://www.storchenclique.de,0.3,"Storchen-Clique Hauingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Hauinger Buurefasnacht – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Hauinger Buurefasnacht,,https://www.fasnacht-loerrach.de,0.9,"Hauinger Buurefasnacht – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
BläachGuggeFätzzer Altenstadt – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,BläachGuggeFätzzer Altenstadt,,https://www.fasnacht-loerrach.de,0.9,"BläachGuggeFätzzer Altenstadt – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Blech-Beat Gugge – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Blech-Beat Gugge,,https://www.fasnacht-loerrach.de,0.9,"Blech-Beat Gugge – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Chanderner Geisse – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Geisse,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Geisse – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Chanderner Hexe – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Hexe,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Hexe – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Chanderner Werwölf – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Werwölf,,https://www.fasnacht-loerrach.de,0.9,"Chanderner Werwölf – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Binzemer Narre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Binzemer Narre,,https://www.fasnacht-loerrach.de,0.9,"Binzemer Narre – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Märchenwald-Hexen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Märchenwald-Hexen,,https://www.fasnacht-loerrach.de,0.9,"Märchenwald-Hexen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646
Lörracher Weihnachtsmarkt,2025-12-04 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Alter Marktplatz, Senser Platz, Hebelpark, Lörrach",Lörrach (DE),Winter,Ja,Weihnachtsmarkt-Besucher,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/weihnachtsmarkt,0.9,"Lörracher Weihnachtsmarkt findet in Alter Marktplatz, Senser Platz, Hebelpark, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-04,20:25,Thursday,12.0,DE,Lörrach,47.615,7.6646
Baden in Blut Metal Open Air,2025-07-17 20:25:00,,,,Musikfestival / Metal / Rock,Nein,Multigenre,60.0,120.0,EUR,paid,high,10000.0,,large (>500),18.0,50.0,All Ages,Weil am Rhein,Weil am Rhein (DE),Summer,Ja,Festival- & Metal-Fans,Baden in Blut Festival e.V.,https://www.instagram.com/badeninblut/,https://www.baden-in-blut.de,0.3,"Baden in Blut Metal Open Air findet in Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-07-17,20:25,Thursday,7.0,DE,Weil am Rhein,47.5939,7.62
FRIAS Freiburger Horizonte Vortragsreihe,2025-09-18 00:00:00,,,,Wissenschaft / Vortrag / Public Lecture,Nein,None,,,EUR,,,,,unknown,20.0,80.0,All Ages,Universität Freiburg,Freiburg (DE),Autumn,Ja,Studierende & Öffentlichkeit,FRIAS – Freiburg Institute for Advanced Studies,https://www.instagram.com/uni_freiburg/,https://www.frias.uni-freiburg.de/de/veranstaltungen,0.9,"FRIAS Freiburger Horizonte Vortragsreihe findet in Universität Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,00:00,Thursday,9.0,DE,Freiburg,47.999,7.8421
Global Studies Lecture – Prof. Walter Mignolo,2025-05-28 18:00:00,,,,Akademischer Vortrag / Global Studies,Ja,Swing/Balboa,,,EUR,,,,,unknown,20.0,70.0,All Ages,"HS 1098, Universität Freiburg",Freiburg (DE),Spring,Ja,Studierende & Wissenschaftsinteressierte,Global Studies Programme Freiburg,https://www.instagram.com/uni_freiburg/,https://www.globalstudies.uni-freiburg.de/,0.9,"Global Studies Lecture – Prof. Walter Mignolo findet in HS 1098, Universität Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-05-28,18:00,Wednesday,5.0,DE,Freiburg,47.999,7.8421
FamilyTour – Abenteuer Baumkronenweg Waldkirch,2025-11-09 12:45:00,,,,Outdoor / Familienevent,Nein,None,15.0,30.0,EUR,paid,mid,,,unknown,6.0,60.0,All Ages,"Baumkronenweg, Waldkirch",Freiburg (DE),Autumn,Nein,Familien & Outdoor-Fans,SWFR Freiburg,https://www.instagram.com/swfr_freiburg/,https://www.swfr.de/,0.3,"FamilyTour – Abenteuer Baumkronenweg Waldkirch findet in Baumkronenweg, Waldkirch, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-09,12:45,Sunday,11.0,DE,Freiburg,47.999,7.8421
