event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram
Herdermer Weihnachtsmarkt Freiburg,2025-12-18 00:00:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Kirchplatz Herdern, Freiburg",Freiburg,unknown,Ja,Stadtteilbewohner & Weihnachtsmarktfreunde,Gemeinde Herdern Freiburg,@freiburg_de
Basel Fasnacht 2026,2026-02-23 20:26:00,,,,Fasnacht / Karneval,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Basel,Basel,Winter,Ja,Fasnacht- & Brauchtumsfans,Comité Basler Fasnacht,@baslerfasnacht
Jazz am See Titisee,2025-07-12 19:00:00,,,,Jazz Konzert / Open Air,Nein,None,20.0,40.0,EUR,range,mittel,,,unknown,20.0,70.0,Senior/All Ages,"Titisee, Schwarzwald",unknown,Sommer,Nein,Jazz- & Musikliebhaber,Kulturverein Hochschwarzwald,@hochschwarzwald
Museumsnacht Weil am Rhein,2025-09-20 18:00:00,,,,Kultur / Museumsnacht,Nein,None,10.0,15.0,EUR,range,günstig,300.0,2000.0,large,16.0,70.0,Senior/All Ages,Weil am Rhein (mehrere Museen),Lörrach/Weil,Herbst,Ja,Kultur- & Museumsfreunde,Museen Weil am Rhein,@stadtweilamrhein
Kunstmarkt Riehen,2025-09-28 10:00:00,,,,Kunstmarkt / Outdoor,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,"Riehen, Schweiz",unknown,Herbst,Nein,Kunstliebhaber & Familien,Kulturverein Riehen,@kultur_riehen
Food Truck Festival Basel,2025-10-10 20:25:00,,,,Street Food / Genuss Festival,Nein,Multigenre,,,,unknown,teuer,10000.0,,mega,16.0,60.0,Midlife,"Basel, Kleinbasel",Basel,Herbst,Ja,Foodies & Festivalbesucher,Food Truck Festival Basel,@foodtruckfestival
Weihnachtscircus Lörrach,2025-12-20 20:26:00,,,,Circus / Familienunterhaltung,Nein,None,20.0,60.0,EUR,range,teuer,,,unknown,,,unknown,Lörrach Messegelände,Lörrach/Weil,Winter,Ja,Familien & Circusliebhaber,Weihnachtscircus Lörrach,@weihnachtscircus
Jugendkulturfestival Weil am Rhein,2025-09-13 00:00:00,,,,Jugendkultur / Musik & Tanz / Workshop,Ja,None,,,,unknown,teuer,500.0,5000.0,large,12.0,30.0,Adults,Innenstadt Weil am Rhein,Lörrach/Weil,Herbst,Ja,Jugend & junge Erwachsene,Stadt Weil am Rhein,@jugendkulturweil
Winterzauber Bad Säckingen,2025-11-28 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Altstadt Bad Säckingen,unknown,Herbst,Nein,Familien & Weihnachtsmarktbesucher,Stadt Bad Säckingen,@badsaeckingen
Lichterfest Basel,2025-10-15 20:25:00,,,,Lichtkunst / Kunstfestival,Nein,Multigenre,,,,unknown,teuer,10000.0,,mega,,,unknown,Innenstadt Basel,Basel,Herbst,Ja,Kunst- & Kulturfreunde,Stadt Basel Kulturamt,@basellive
Fasnacht Kinderumzug Riehen,2026-02-24 14:00:00,,,,Fasnacht / Kinderumzug,Nein,None,,,,unknown,teuer,300.0,2000.0,large,4.0,14.0,Young Adults,"Innenstadt Riehen, Schweiz",unknown,Winter,Nein,Kinder & Familien,Fasnachtskomitee Riehen,@riehen_kultur
Welthaus Freiburg – Weltkino & Vorträge,2025-09-20 20:25:00,,,,Film & Vorträge / Globalthemen,Ja,Swing/Balboa,5.0,10.0,EUR,range,günstig,,,unknown,18.0,70.0,Senior/All Ages,Welthaus Freiburg,Freiburg,Herbst,Ja,Studierende & Kulturinteressierte,Welthaus Freiburg,@welthaus_freiburg
Winterlichter Freiburg,2025-12-01 20:25:00,,,,Weihnachtsmarkt & Lichtinstallation,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Freiburg,Freiburg,Winter,Ja,Weihnachts- & Kulturfreunde,Stadt Freiburg,@freiburg_de
Freibaderöffnung Parkschwimmbad Lörrach,2025-05-19 00:00:00,,,,Outdoor / Schwimmbad-Event,Nein,None,5.0,10.0,EUR,range,günstig,,,unknown,,,unknown,Parkschwimmbad Lörrach,Lörrach/Weil,Frühling,Ja,Familien & Sportfreunde,Stadtwerke Lörrach / Parkschwimmbad,@stadt.loerrach
Impulsiv Lörrach – Freizeit & After Work Events,2025-09-18 00:00:00,,,,Freizeit / Sport / Social,Nein,None,5.0,20.0,EUR,range,mittel,50.0,200.0,medium,16.0,50.0,Midlife,"Impulsiv Freizeitcenter, Lörrach",Lörrach/Weil,unknown,Ja,Jugend & Erwachsene,Impulsiv Freizeitcenter Lörrach,@impulsivloerrach
Fasnachts-Zunftabend Zänzeler e.V.,2026-02-07 20:00:00,,,,Fasnacht / Vereinsabend,Nein,None,10.0,20.0,EUR,range,mittel,300.0,2000.0,large,16.0,70.0,Senior/All Ages,"Zänzeler Zunfthalle, Lörrach",Lörrach/Weil,Winter,Ja,Fasnacht- & Vereinsfreunde,Zänzeler Fasnachtsverein Lörrach,@zanzeleclique
Fasnachts-Seniorennachmittag Zänzeler,2026-02-08 14:00:00,,,,Fasnacht / Seniorennachmittag,Nein,None,,,,unknown,teuer,300.0,2000.0,large,60.0,,Midlife,"Zänzeler Zunfthalle, Lörrach",Lörrach/Weil,Winter,Ja,Senioren & Familien,Zänzeler Fasnachtsverein Lörrach,@zanzeleclique
Schüler-Weihnachtskonzert Musikschule Lörrach,2025-12-18 18:30:00,,,,Schülerkonzert / Weihnachten,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Städtische Musikschule Lörrach,Lörrach/Weil,Winter,Ja,Familien & Musikfreunde,Musikschule Lörrach,@musikschule_loerrach
Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk,2025-12-06 20:25:00,,,,Weihnachtsmarkt / Kunsthandwerk,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"St. Blasien, Schwarzwald",unknown,Winter,Nein,Weihnachtsmarkt- & Kunstfreunde,Stadt St. Blasien,@stblasien
Bad Bellingen Lichterzauber,2025-12-15 20:25:00,,,,Licht- & Winterevent,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Kurpark Bad Bellingen,unknown,Winter,Nein,Familien & Winterbesucher,Tourismus Bad Bellingen,@bad_bellingen
Basel Tattoo 2026,2026-07-18 00:00:00,,,,Musik / Show / Großveranstaltung,Nein,None,40.0,120.0,CHF,range,teuer,,,unknown,,,unknown,Kaserne Basel,Basel,unknown,Ja,Musik- & Showfans,Basel Tattoo Productions,@baseltattoo
Stage X – Offene Bühne Freiburg,2025-09-03 00:00:00,,,,Open Mic / Musik / Community,Nein,None,,,,unknown,teuer,,,unknown,16.0,50.0,Midlife,Kulturhaus Freiburg Innenstadt,Freiburg,unknown,Ja,Musiker & Musikfans,Stage X Freiburg,@stagexfreiburg
Weihnachtszauber Weil am Rhein,2025-12-01 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Weil am Rhein,Lörrach/Weil,Winter,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,@stadt_weilamrhein
Zumba Flashmob Basel,2025-09-05 18:00:00,,,,Tanz / Social / Flashmob,Ja,None,,,,unknown,teuer,50.0,200.0,medium,12.0,50.0,Midlife,Münsterplatz Basel,Basel,Herbst,Ja,Tanzbegeisterte & Fitnessfreunde,Zumba Community Basel,@zumba_basel
Seniorenball Lörrach,2025-11-22 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,15.0,30.0,EUR,range,mittel,50.0,200.0,medium,60.0,,Midlife,Burghof Lörrach,Lörrach/Weil,Herbst,Ja,Senioren & Tanzfreunde,Burghof Lörrach GmbH,@burghofloerrach
Adventskonzert Basel Musikverein,2025-12-05 19:00:00,,,,Konzert / Adventsmusik,Nein,None,20.0,50.0,CHF,range,teuer,,,unknown,30.0,80.0,Senior/All Ages,Musikverein Basel,Basel,Winter,Ja,Klassik- & Konzertfreunde,Basler Musikverein,@musikvereinbasel
Weihnachtsmarkt Riehen,2025-11-27 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Innenstadt Riehen, Schweiz",unknown,Herbst,Nein,Weihnachtsmarktbesucher,Stadt Riehen,@riehenkultur
Lörrach Open Air Sommerkonzert,2025-07-17 20:00:00,,,,Open Air Konzert / Pop / Rock,Nein,None,20.0,60.0,EUR,range,teuer,,,unknown,16.0,60.0,Midlife,Burghof Lörrach Außenbühne,Lörrach/Weil,Sommer,Ja,Konzertbesucher,Burghof Lörrach GmbH,@burghofloerrach
Kunstnacht Weil am Rhein,2025-10-11 18:00:00,,,,Kultur / Kunst & Musik / Nachtveranstaltung,Nein,None,10.0,20.0,EUR,range,mittel,300.0,2000.0,large,16.0,70.0,Senior/All Ages,Innenstadt Weil am Rhein,Lörrach/Weil,Herbst,Ja,Kunst- & Kulturfreunde,Kulturamt Weil am Rhein,@stadtweilamrhein
Volksball Maulburg,2026-01-30 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,15.0,30.0,EUR,range,mittel,50.0,200.0,medium,18.0,70.0,Senior/All Ages,Gemeindehalle Maulburg,unknown,Winter,Nein,Tanz- & Gesellschaftsfreunde,Gemeinde Maulburg,@maulburg_event
Weihnachtskonzert der Stadtkapelle Lörrach,2025-12-20 18:00:00,,,,Konzert / Weihnachten,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Stadthalle Lörrach,Lörrach/Weil,Winter,Ja,Familien & Musikliebhaber,Stadtkapelle Lörrach,@stadtkapelleloerrach
Tanz in den Mai Freiburg,2026-04-30 20:00:00,,,,Party / Tanz / Mai-Fest,Ja,None,10.0,20.0,EUR,range,mittel,300.0,2000.0,large,16.0,40.0,Adults,Innenstadt Freiburg,Freiburg,Frühling,Ja,Party- & Tanzfreunde,Stadt Freiburg,@freiburg_de
OpenAir Kino Kleinbasel,2026-07-18 00:00:00,,,,Open-Air Kino / Film,Nein,None,10.0,15.0,CHF,range,günstig,,,unknown,,,unknown,"Kleinbasel, Basel",Basel,unknown,Ja,Filmfans & Familien,OpenAir Kino Basel,@openairkino_basel
Food & Wine Night Rheinfelden,2025-10-15 18:00:00,,,,Genuss / Wein & Kulinarik,Nein,None,20.0,40.0,EUR,range,mittel,,,unknown,25.0,65.0,Senior/All Ages,Altstadt Rheinfelden,unknown,Herbst,Nein,Weinliebhaber & Genießer,Tourismus Rheinfelden,@rheinfelden_event
Weihnachtszauber Müllheim,2025-12-01 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Müllheim (Baden),unknown,Winter,Nein,Weihnachtsmarkt-Besucher,Stadt Müllheim,@stadt.muellheim
Seniorenfasnacht Lörrach,2026-02-24 14:00:00,,,,Fasnacht / Seniorennachmittag,Nein,None,,,,unknown,teuer,300.0,2000.0,large,60.0,,Midlife,Innenstadt Lörrach,Lörrach/Weil,Winter,Ja,Senioren & Fasnachtsfreunde,Senioreninitiative Lörrach,@narrenzunft.loerrach
Markt der Genüsse Freiburg,2025-10-10 11:00:00,,,,Genuss / Markt / Kulinarik,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Münsterplatz Freiburg,Freiburg,Herbst,Ja,Foodies & Marktbesucher,Stadt Freiburg,@freiburg_de
Fasnacht Zofingen – Gastauftritt Lörracher Cliquen,2026-02-21 00:00:00,,,,Fasnacht / Umzug,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Innenstadt Zofingen, Schweiz",unknown,Winter,Nein,Fasnachtsfreunde,Fasnachtskomitee Zofingen,@zofingenfasnacht
Basel Marathon Expo,2026-04-13 00:00:00,,,,Sportmesse / Marathon Rahmenprogramm,Nein,None,,,,unknown,teuer,,,unknown,16.0,70.0,Senior/All Ages,Messeplatz Basel,Basel,Frühling,Ja,Sport- & Marathonfans,Basel Marathon,@baselmarathon
Kinderweihnachtsmarkt Lörrach,2025-12-13 14:00:00,,,,Weihnachtsmarkt / Familien,Nein,None,,,,unknown,teuer,300.0,2000.0,large,3.0,14.0,Young Adults,"Senser Platz & Hebelpark, Lörrach",Lörrach/Weil,Winter,Ja,Kinder & Familien,Stadt Lörrach,@stadt.loerrach
Campus Open Day Universität Freiburg,2026-06-05 00:00:00,,,,Bildung / Tag der offenen Tür,Nein,None,,,,unknown,teuer,,,unknown,16.0,60.0,Midlife,Universität Freiburg,Freiburg,Sommer,Ja,Studierende & Familien,Universität Freiburg,@uni_freiburg
Winterlauf Lörrach,2026-01-15 10:00:00,,,,Laufveranstaltung / Sport,Nein,None,10.0,20.0,EUR,range,mittel,,,unknown,16.0,60.0,Midlife,Innenstadt Lörrach,Lörrach/Weil,Winter,Ja,Läufer & Sportfreunde,Stadt Lörrach,@laufloerrach
Gondwana Festival Basel,2025-10-10 20:25:00,,,,Musik / Indie Festival,Nein,Multigenre,40.0,80.0,CHF,range,teuer,10000.0,,mega,18.0,40.0,Adults,"Basel, verschiedene Locations",Basel,Herbst,Ja,Festivalbesucher & Musikfans,Gondwana Festival Basel,@gondwanafestival
Theater Freiburg – Der Besuch der alten Dame,2025-11-28 20:00:00,,,,Theater / Schauspiel,Nein,None,15.0,40.0,EUR,range,mittel,,,unknown,16.0,80.0,Senior/All Ages,Stadttheater Freiburg,Freiburg,Herbst,Ja,Theater- & Kulturfreunde,Theater Freiburg,@theater.freiburg
Winterball Weil am Rhein,2026-02-13 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,20.0,40.0,EUR,range,mittel,50.0,200.0,medium,18.0,70.0,Senior/All Ages,Kulturzentrum Weil am Rhein,Lörrach/Weil,Winter,Ja,Tanz- & Ballfreunde,Stadt Weil am Rhein,@stadtweilamrhein
Jugend Theaterworkshop Basel,2025-10-20 20:25:00,,,,Workshop / Theater / Jugend,Nein,None,50.0,100.0,CHF,range,teuer,,,unknown,12.0,20.0,Young Adults,Theater Basel,Basel,Herbst,Ja,Jugendliche & Theaterfreunde,Theater Basel,@theaterbasel
Weihnachtskonzert Basel Cathedral Choir,2025-12-13 19:30:00,,,,Konzert / Advent / Klassik,Nein,None,20.0,40.0,CHF,range,mittel,,,unknown,25.0,80.0,Senior/All Ages,"Basler Münster, Basel",Basel,Winter,Ja,Klassikfreunde,Basel Cathedral Choir,@baselermuenster
Open House Vitra Design Museum,2026-05-08 00:00:00,,,,Kunst / Design / Ausstellungstag,Nein,None,,,,unknown,teuer,,,unknown,16.0,70.0,Senior/All Ages,"Vitra Campus, Weil am Rhein",Lörrach/Weil,Frühling,Ja,Kunst- & Designfreunde,Vitra Design Museum,@vitra
Sommerfest Jugendhaus Rheinfelden,2025-08-12 00:00:00,,,,Stadtteilfest / Musik & Kinderprogramm,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Jugendhaus Rheinfelden,unknown,Sommer,Nein,Familien & Jugendliche,Jugendhaus Rheinfelden,@jugendhaus_rheinfelden
Mittelaltermarkt Burg Rötteln,2026-05-17 20:26:00,,,,Mittelaltermarkt / Kultur / Markt,Nein,None,10.0,20.0,EUR,range,mittel,500.0,5000.0,large,,,unknown,"Burg Rötteln, Lörrach",Lörrach/Weil,Frühling,Ja,Familien & Mittelalterfans,Burg Rötteln Förderverein,@burgroetteln
Theater Freiburg – Hexenabend,2025-10-31 20:00:00,,,,Theater / Schauspiel / Halloween,Nein,None,15.0,35.0,EUR,range,mittel,,,unknown,16.0,60.0,Midlife,Theater Freiburg,Freiburg,Herbst,Ja,Theater- & Halloweenfreunde,Theater Freiburg,@theater.freiburg
Neujahrskonzert Kurhaus Badenweiler,2026-01-02 19:30:00,,,,Konzert / Klassik / Neujahr,Nein,None,20.0,50.0,EUR,range,teuer,,,unknown,30.0,80.0,Senior/All Ages,Kurhaus Badenweiler,Lörrach/Weil,Winter,Ja,Klassik- & Kulturfreunde,Kurhaus Badenweiler,@kurhaus_badenweiler
Museumsnacht Freiburg,2026-05-14 18:00:00,,,,Kultur / Nachtveranstaltung,Nein,None,10.0,20.0,EUR,range,mittel,300.0,2000.0,large,16.0,70.0,Senior/All Ages,Innenstadt Freiburg (Museen),Freiburg,Frühling,Ja,Kultur- & Museumsfreunde,Museen Freiburg,@freiburg_de
Basel Läuft Benefizlauf,2026-05-09 10:00:00,,,,Sport / Laufveranstaltung,Nein,None,20.0,40.0,CHF,range,mittel,,,unknown,16.0,60.0,Midlife,Innenstadt Basel,Basel,Frühling,Ja,Läufer & Sportfreunde,Basel Läuft Organisation,@basel_laeuft
Open Stage Jazzclub Freiburg,2025-11-05 20:30:00,,,,Jazz / Open Stage / Musik,Nein,None,10.0,20.0,EUR,range,mittel,,,unknown,18.0,70.0,Senior/All Ages,Jazzhaus Freiburg,Freiburg,Herbst,Ja,Jazzliebhaber & Musiker,Jazzhaus Freiburg,@jazzhausfreiburg
Kindertheater – Rabe Socke,2025-12-12 15:00:00,,,,Theater / Kindertheater,Nein,None,10.0,20.0,EUR,range,mittel,,,unknown,3.0,10.0,Young Adults,Stadttheater Freiburg,Freiburg,Winter,Ja,Kinder & Familien,Theater Freiburg,@theater.freiburg
Weihnachts-Zauber Basel,2025-11-25 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,Innenstadt Basel,Basel,Herbst,Ja,Weihnachtsmarktbesucher,Stadt Basel,@basellive
Theater Lörrach – Kabale und Liebe,2026-03-05 19:30:00,,,,Theater / Schauspiel,Nein,None,15.0,35.0,EUR,range,mittel,,,unknown,16.0,80.0,Senior/All Ages,Stadttheater Lörrach,Lörrach/Weil,Frühling,Ja,Theaterfreunde,Theater Lörrach,@theaterloerrach
Afterwork Vinyl & Drinks Basel,2025-10-15 18:00:00,,,,Musik / Social / DJ Event,Nein,None,,,,unknown,teuer,50.0,200.0,medium,20.0,50.0,Midlife,Sudhaus Basel,Basel,Herbst,Ja,Afterwork- & Musikfans,Sudhaus Basel,@sudhausbasel
Trailrunning Festival Schwarzwald,2025-09-14 00:00:00,,,,Sport / Outdoor / Running,Nein,None,30.0,60.0,EUR,range,teuer,,,unknown,18.0,55.0,Midlife,Schwarzwald Region bei Freiburg,Freiburg,Herbst,Ja,Läufer & Outdoor-Fans,Trailrunning Community Schwarzwald,@trailrun_schwarzwald
Gospel Weihnachtskonzert Basel,2025-12-19 20:00:00,,,,Konzert / Gospel / Weihnachten,Nein,None,20.0,40.0,CHF,range,mittel,300.0,2000.0,large,,,unknown,Johanneskirche Basel,Basel,Winter,Ja,Gospelfreunde & Familien,Johanneskirche Basel,@basel_gospel
2nd Chamber Concert Freiburg,2025-11-23 11:00:00,,,,Kammerkonzert / Klassik,Nein,None,15.0,30.0,EUR,range,mittel,,,unknown,25.0,70.0,Senior/All Ages,"Theater Freiburg, Winterer-Foyer",Freiburg,Herbst,Ja,Klassik- & Musikliebhaber,Theater Freiburg,@theater.freiburg
"Kulturfilm – Amazones, femmes guerrières de l'Antiquité",2025-09-22 18:00:00,,,,Film / Vortrag / Kultur,Nein,None,5.0,10.0,EUR,range,günstig,500.0,5000.0,large,18.0,60.0,Midlife,Universität Freiburg,Freiburg,Herbst,Ja,Studierende & Kulturinteressierte,Universität Freiburg,@uni_freiburg
Sinu Konzert Freiburg,2025-11-21 20:00:00,,,,Konzert / Popmusik,Nein,None,20.0,40.0,EUR,range,mittel,,,unknown,16.0,40.0,Adults,"Hilda5, Freiburg",Freiburg,Herbst,Ja,Popmusikfans & junge Erwachsene,Kulturaggregat Freiburg,@sinu_music
Create. Rheinfall Festival,2025-07-05 00:00:00,,,,Festival / Elektronische Musik,Nein,Multigenre,25.0,50.0,CHF,range,teuer,10000.0,,mega,18.0,35.0,Adults,Neuhausen am Rheinfall,unknown,Sommer,Nein,Festivalcrowd & EDM-Fans,Create. Festival,@create_rheinfall
Neujahrslauf Weil am Rhein,2026-01-01 11:00:00,,,,Laufveranstaltung / Sport,Nein,None,10.0,20.0,EUR,range,mittel,,,unknown,16.0,60.0,Midlife,Innenstadt Weil am Rhein,Lörrach/Weil,Winter,Ja,Läufer & Sportfreunde,Stadt Weil am Rhein,@stadtweilamrhein
Theater Freiburg – Faust,2026-01-15 19:30:00,,,,Theater / Schauspiel / Klassiker,Nein,None,20.0,50.0,EUR,range,teuer,,,unknown,16.0,80.0,Senior/All Ages,Stadttheater Freiburg,Freiburg,Winter,Ja,Theaterliebhaber,Theater Freiburg,@theater.freiburg
Autorenlesung Literaturhaus Basel,2025-10-11 20:00:00,,,,Lesung / Literatur,Nein,None,10.0,20.0,CHF,range,mittel,,,unknown,18.0,70.0,Senior/All Ages,Literaturhaus Basel,Basel,Herbst,Ja,Literaturfreunde,Literaturhaus Basel,@literaturhausbasel
Open House Baumwipfelpfad Schwarzwald,2025-09-27 00:00:00,,,,Outdoor / Tourismus / Familie,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Baumwipfelpfad Schwarzwald,unknown,Herbst,Nein,Familien & Naturfreunde,Baumwipfelpfad Schwarzwald,@baumwipfelpfad_schwarzwald
Weihnachtschor Aachen – Gastspiel Basel,2025-12-20 19:00:00,,,,Konzert / Chormusik / Weihnachten,Nein,None,20.0,40.0,CHF,range,mittel,300.0,2000.0,large,,,unknown,"St. Elisabeth Kirche, Basel",Basel,Winter,Ja,Klassik- & Chormusikfreunde,Gastchor Aachen & Kirche St. Elisabeth Basel,@chorbasel
Basler Herbstmesse,2025-10-25 20:25:00,,,,Herbstmesse / Stadtfest / Kirmes,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Innenstadt Basel,Basel,Herbst,Ja,Familien & Stadtfest-Besucher,Stadt Basel,@basellive
Lörrach Spring Festival – Lörrach swingt,2025-04-12 20:25:00,,,,Stadtfest / Musik & Kultur,Nein,None,,,,unknown,teuer,500.0,5000.0,large,,,unknown,Marktplatz Lörrach,Lörrach/Weil,Frühling,Ja,Familien & Musikfreunde,Pro Lörrach e.V.,@stadt.loerrach
Stimmen Festival 2025 – Voodoo Jürgens Opening,2025-06-26 20:00:00,,,,Konzert / Festival,Nein,Multigenre,40.0,80.0,EUR,range,teuer,10000.0,,mega,18.0,60.0,Midlife,Burghof Lörrach,Lörrach/Weil,Sommer,Ja,Festivalbesucher & Musikfans,Burghof Lörrach GmbH,@stimmenfestival
"Burghof Konzerte Lörrach (Fannie, Brueder Selke, Bummelkasten)",2025-11-05 20:25:00,,,,Konzert / Live Musik,Nein,None,20.0,40.0,EUR,range,mittel,,,unknown,16.0,60.0,Midlife,Burghof Lörrach,Lörrach/Weil,Herbst,Ja,Konzertbesucher,Burghof Lörrach GmbH,@burghofloerrach
Cityfest Rheinfelden mit City-Kirmes,2025-06-19 20:25:00,,,,Stadtfest / Kirmes / Markt,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Innenstadt Rheinfelden (Baden),unknown,Sommer,Nein,Community & Festbesucher,Stadt Rheinfelden,@stadt_rheinfelden
Festival der Kulturen Rheinfelden,2025-05-30 20:25:00,,,,Markt / Kultur / International,Nein,None,,,,unknown,teuer,500.0,5000.0,large,18.0,70.0,Senior/All Ages,Innenstadt Rheinfelden (Baden),unknown,Frühling,Nein,Kultur- & Weltoffenheitsinteressierte,Bak Roots & Stadt Rheinfelden,@rheinfelden_events
Bio-Herbstmarkt Freiburg,2025-09-27 00:00:00,,,,Markt / Genuss / Regional,Nein,None,,,,unknown,teuer,,,unknown,,,unknown,Innenstadt Freiburg,Freiburg,Herbst,Ja,Genussliebhaber & Marktbesucher,Stadt Freiburg,@freiburg_de
Max Raabe & Palast Orchester – Freiburg,2025-10-02 20:00:00,,,,Konzert / Musik / Nostalgie,Nein,None,50.0,90.0,EUR,range,teuer,,,unknown,30.0,70.0,Senior/All Ages,Konzerthaus Freiburg,Freiburg,Herbst,Ja,Konzertliebhaber & Nostalgiefans,Palast Orchester & Konzerthaus Freiburg,@maxraabe_official
Faisal Kawusi – Comedy Show Freiburg,2025-10-17 20:00:00,,,,Comedy / Bühne,Nein,None,35.0,50.0,EUR,range,teuer,,,unknown,20.0,60.0,Midlife,"Bürgerhaus Zähringen, Freiburg",Freiburg,Herbst,Ja,Comedyfans & Abend-Ausgeher,Faisal Kawusi Tourmanagement,@faisal.kawusi
Foire aux Vins d’Alsace Colmar,2025-07-25 20:25:00,,,,Festival / Wein / Musik,Nein,Multigenre,20.0,80.0,EUR,range,teuer,10000.0,,mega,25.0,65.0,Senior/All Ages,"Parc des Expositions, Colmar",unknown,Sommer,Nein,Weinliebhaber & Festivalgänger,Parc Expo Colmar,@foirecolmar
Weihnachtsmarkt Eguisheim,2025-11-21 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,unknown,teuer,300.0,2000.0,large,,,unknown,"Eguisheim, Elsass",unknown,Herbst,Nein,Familien & Weihnachtsmarktbesucher,Ville d’Eguisheim,@eguisheim_officiel
Bauernhofkonzert Sternensee Stegen-Eschbach,2025-07-03 18:30:00,,,,Konzert / Open Air / Musik,Nein,None,30.0,30.0,EUR,fixed,mittel,,,unknown,20.0,60.0,Midlife,"Hummelhof, Stegen-Eschbach (Schwarzwald)",unknown,Sommer,Nein,Musikfans & Outdoorliebhaber,Hummelhof Stegen-Eschbach,@schwarzwald_events
Basler Marionetten – Kindertheater Pumuckl,2025-10-05 15:00:00,,,,Kindertheater / Familie,Nein,None,15.0,30.0,CHF,range,mittel,,,unknown,3.0,12.0,Young Adults,Basel Marionetten Theater,Basel,Herbst,Ja,Kinder & Familien,Basler Marionetten Theater,@baslermarionetten
Wanderführung 'Eine Spur wilder' Schwarzwald,2025-09-16 11:00:00,,,,Outdoor / Natur / Führung,Nein,None,5.0,15.0,EUR,range,günstig,,,unknown,,,unknown,"Schwarzwald Nationalpark, Tonbachtal",unknown,Herbst,Nein,Naturinteressierte & Familien,Nationalpark Schwarzwald,@nationalpark_schwarzwald
