event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description
Clunggi Haltingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Clunggi Haltingen,,https://www.fasnacht-loerrach.de,0.9,Clunggi Haltingen – Fasnachtsumzug | by Clunggi Haltingen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Alti Fabriknäscht Cligge Friedlingen,,https://www.fasnacht-loerrach.de,0.9,Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug | by Alti Fabriknäscht Cligge Friedlingen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Altwiiler Räbbuure – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Altwiiler Räbbuure,,https://www.fasnacht-loerrach.de,0.9,Altwiiler Räbbuure – Fasnachtsumzug | by Altwiiler Räbbuure | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Auggener Räbchnurre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Auggener Räbchnurre,,https://www.fasnacht-loerrach.de,0.9,Auggener Räbchnurre – Fasnachtsumzug | by Auggener Räbchnurre | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Bachratte Eimeldingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Bachratte Eimeldingen,,https://www.fasnacht-loerrach.de,0.9,Bachratte Eimeldingen – Fasnachtsumzug | by Bachratte Eimeldingen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Bärebrummer Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Bärebrummer Friedlingen,,https://www.fasnacht-loerrach.de,0.9,Bärebrummer Friedlingen – Fasnachtsumzug | by Bärebrummer Friedlingen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Baumfrevler Maulburg – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Baumfrevler Maulburg,,https://www.fasnacht-loerrach.de,0.9,Baumfrevler Maulburg – Fasnachtsumzug | by Baumfrevler Maulburg | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Beelze Buebe Kandern – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Beelze Buebe Kandern,,https://www.fasnacht-loerrach.de,0.9,Beelze Buebe Kandern – Fasnachtsumzug | by Beelze Buebe Kandern | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Belchengeister & Chäsliwieber Münstertal,,https://www.fasnacht-loerrach.de,0.9,Belchengeister & Chäsliwieber Münstertal – Fasnachtsumzug | by Belchengeister & Chäsliwieber Münstertal | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Storchen-Clique Hauingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Storchen-Clique Hauingen,,https://www.storchenclique.de,0.3,Storchen-Clique Hauingen – Fasnachtsumzug | by Storchen-Clique Hauingen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Hauinger Buurefasnacht – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Hauinger Buurefasnacht,,https://www.fasnacht-loerrach.de,0.9,Hauinger Buurefasnacht – Fasnachtsumzug | by Hauinger Buurefasnacht | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
BläachGuggeFätzzer Altenstadt – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,BläachGuggeFätzzer Altenstadt,,https://www.fasnacht-loerrach.de,0.9,BläachGuggeFätzzer Altenstadt – Fasnachtsumzug | by BläachGuggeFätzzer Altenstadt | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Blech-Beat Gugge – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Blech-Beat Gugge,,https://www.fasnacht-loerrach.de,0.9,Blech-Beat Gugge – Fasnachtsumzug | by Blech-Beat Gugge | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Chanderner Geisse – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Geisse,,https://www.fasnacht-loerrach.de,0.9,Chanderner Geisse – Fasnachtsumzug | by Chanderner Geisse | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Chanderner Hexe – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Hexe,,https://www.fasnacht-loerrach.de,0.9,Chanderner Hexe – Fasnachtsumzug | by Chanderner Hexe | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Chanderner Werwölf – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Chanderner Werwölf,,https://www.fasnacht-loerrach.de,0.9,Chanderner Werwölf – Fasnachtsumzug | by Chanderner Werwölf | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Binzemer Narre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Binzemer Narre,,https://www.fasnacht-loerrach.de,0.9,Binzemer Narre – Fasnachtsumzug | by Binzemer Narre | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Märchenwald-Hexen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Lörrach & Ortsteile,Lörrach (DE),winter,Ja,Fasnacht- & Brauchtumsfans,Märchenwald-Hexen,,https://www.fasnacht-loerrach.de,0.9,Märchenwald-Hexen – Fasnachtsumzug | by Märchenwald-Hexen | on 2026-02-23 20:26:00 | in Innenstadt Lörrach & Ortsteile
Lörracher Weihnachtsmarkt,2025-12-04 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,"Alter Marktplatz, Senser Platz, Hebelpark, Lörrach",Lörrach (DE),winter,Ja,Weihnachtsmarkt-Besucher,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/weihnachtsmarkt,0.9,"Lörracher Weihnachtsmarkt | by Stadt Lörrach | on 2025-12-04 20:25:00 | in Alter Marktplatz, Senser Platz, Hebelpark, Lörrach"
Baden in Blut Metal Open Air,2025-07-17 20:25:00,,,,Musikfestival / Metal / Rock,Nein,Multigenre,60.0,120.0,EUR,paid,high,10000.0,,large (>500),18.0,50.0,18+,Weil am Rhein,Weil am Rhein (DE),summer,Ja,Festival- & Metal-Fans,Baden in Blut Festival e.V.,https://www.instagram.com/badeninblut/,https://www.baden-in-blut.de,0.3,Baden in Blut Metal Open Air | by Baden in Blut Festival e.V. | on 2025-07-17 20:25:00 | in Weil am Rhein
FRIAS Freiburger Horizonte Vortragsreihe,2025-09-18 00:00:00,,,,Wissenschaft / Vortrag / Public Lecture,Nein,None,,,EUR,,,,,unknown,20.0,80.0,18+,Universität Freiburg,Freiburg (DE),autumn,Ja,Studierende & Öffentlichkeit,FRIAS – Freiburg Institute for Advanced Studies,https://www.instagram.com/uni_freiburg/,https://www.frias.uni-freiburg.de/de/veranstaltungen,0.9,FRIAS Freiburger Horizonte Vortragsreihe | by FRIAS – Freiburg Institute for Advanced Studies | on 2025-09-18 00:00:00 | in Universität Freiburg
Global Studies Lecture – Prof. Walter Mignolo,2025-05-28 18:00:00,,,,Akademischer Vortrag / Global Studies,Ja,Swing/Balboa,,,EUR,,,,,unknown,20.0,70.0,18+,"HS 1098, Universität Freiburg",Freiburg (DE),spring,Ja,Studierende & Wissenschaftsinteressierte,Global Studies Programme Freiburg,https://www.instagram.com/uni_freiburg/,https://www.globalstudies.uni-freiburg.de/,0.9,"Global Studies Lecture – Prof. Walter Mignolo | by Global Studies Programme Freiburg | on 2025-05-28 18:00:00 | in HS 1098, Universität Freiburg"
FamilyTour – Abenteuer Baumkronenweg Waldkirch,2025-11-09 12:45:00,,,,Outdoor / Familienevent,Nein,None,15.0,30.0,EUR,paid,mid,,,unknown,6.0,60.0,6+,"Baumkronenweg, Waldkirch",Freiburg (DE),autumn,Nein,Familien & Outdoor-Fans,SWFR Freiburg,https://www.instagram.com/swfr_freiburg/,https://www.swfr.de/,0.3,"FamilyTour – Abenteuer Baumkronenweg Waldkirch | by SWFR Freiburg | on 2025-11-09 12:45:00 | in Baumkronenweg, Waldkirch"
Narrenzunft Lörrach 1936 – Zunftabende & Umzüge,2026-02-04 20:26:00,,,,Fasnacht / Vereinsveranstaltungen,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Alte Halle Haagen & Innenstadt Lörrach,Lörrach (DE),winter,Ja,Fasnacht & Vereinsfreunde,Narrenzunft Lörrach 1936 e.V.,https://www.instagram.com/narrenzunft.loerrach/,https://www.narrenzunft-loerrach.de/,0.3,Narrenzunft Lörrach 1936 – Zunftabende & Umzüge | by Narrenzunft Lörrach 1936 e.V. | on 2026-02-04 20:26:00 | in Alte Halle Haagen & Innenstadt Lörrach
Weihnachtsmarkt Weil am Rhein,2025-11-29 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,"Lindenplatz, Alt-Weil, Weil am Rhein",Weil am Rhein (DE),autumn,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,https://www.instagram.com/stadt_weilamrhein/,https://www.weil-am-rhein.de/de/Tourismus-Freizeit/Veranstaltungen/Weihnachtsmarkt,0.3,"Weihnachtsmarkt Weil am Rhein | by Stadt Weil am Rhein | on 2025-11-29 20:25:00 | in Lindenplatz, Alt-Weil, Weil am Rhein"
Weihnachtsmärkte Südbaden 2025,2025-11-27 20:25:00,,,,Weihnachtsmärkte / Winterevents,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,"Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)",Freiburg (DE),autumn,Ja,Winter- & Weihnachtsmarktbesucher,Tourismus Baden-Württemberg,https://www.instagram.com/visitbawu/,https://www.tourismus-bw.de/,0.9,"Weihnachtsmärkte Südbaden 2025 | by Tourismus Baden-Württemberg | on 2025-11-27 20:25:00 | in Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)"
Burghof Lörrach – Abdelkarim: Plan Z,2025-10-18 20:00:00,,,,Kabarett / Comedy Show,Nein,None,25.0,40.0,EUR,paid,mid,,,unknown,20.0,60.0,18+,Burghof Lörrach,Lörrach (DE),autumn,Ja,Kabarett- & Comedyfans,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.burghof.com/programm/,0.8,Burghof Lörrach – Abdelkarim: Plan Z | by Burghof Lörrach GmbH | on 2025-10-18 20:00:00 | in Burghof Lörrach
Weindorf Lörrach,2025-06-18 20:25:00,,,,Weinfest / Genuss & Social,Nein,None,,,EUR,,,50.0,200.0,medium (100–500),18.0,70.0,18+,"Alter Markt, Lörrach",Lörrach (DE),summer,Ja,Weinliebhaber & Kulturfreunde,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Weindorf Lörrach | by Stadt Lörrach | on 2025-06-18 20:25:00 | in Alter Markt, Lörrach"
Weinmarkt Tüllingen Lörrach,2025-09-07 00:00:00,,,,Weinmarkt / Markt & Genuss,Nein,None,,,EUR,,,,,unknown,18.0,70.0,18+,"Ortskern Tüllingen, Lörrach",Lörrach (DE),autumn,Ja,Wein- & Genussfreunde,Stadtteilverein Tüllingen,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Weinmarkt Tüllingen Lörrach | by Stadtteilverein Tüllingen | on 2025-09-07 00:00:00 | in Ortskern Tüllingen, Lörrach"
Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes,2025-09-03 20:25:00,,,,Outdoor / Kanu & Kayak,Nein,None,,,EUR,,,,,unknown,12.0,50.0,6+,"Base Canoë-Kayak, Riedisheim (Mulhouse)",Mulhouse (FR),autumn,Nein,Outdoor- & Wassersportfans,Canoë-Kayak Club Mulhouse Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.mulhouse-alsace.fr/en/what-to-do/agenda/,0.9,"Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes | by Canoë-Kayak Club Mulhouse Riedisheim | on 2025-09-03 20:25:00 | in Base Canoë-Kayak, Riedisheim (Mulhouse)"
Canoë-Kayak Mulhouse – Explor’Assos,2025-09-07 00:00:00,,,,Outdoor / Kanu & Sport,Nein,None,,,EUR,,,,,unknown,12.0,50.0,6+,"Riedisheim, Mulhouse",Mulhouse (FR),autumn,Nein,Sportinteressierte & Familien,Base Canoë-Kayak Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.mulhouse-alsace.fr/en/what-to-do/agenda/,0.9,"Canoë-Kayak Mulhouse – Explor’Assos | by Base Canoë-Kayak Riedisheim | on 2025-09-07 00:00:00 | in Riedisheim, Mulhouse"
Weihnachtsmarkt Freiburg,2025-11-20 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Freiburg,Freiburg (DE),autumn,Ja,Weihnachtsmarkt-Besucher,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Weihnachtsmarkt Freiburg | by Stadt Freiburg | on 2025-11-20 20:25:00 | in Innenstadt Freiburg
Herdermer Weihnachtsmarkt Freiburg,2025-12-18 00:00:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,"Kirchplatz Herdern, Freiburg",Freiburg (DE),winter,Ja,Stadtteilbewohner & Weihnachtsmarktfreunde,Gemeinde Herdern Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Herdermer Weihnachtsmarkt Freiburg | by Gemeinde Herdern Freiburg | on 2025-12-18 00:00:00 | in Kirchplatz Herdern, Freiburg"
Basel Fasnacht 2026,2026-02-23 20:26:00,,,,Fasnacht / Karneval,Nein,None,,,CHF,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Basel,Basel (CH),winter,Ja,Fasnacht- & Brauchtumsfans,Comité Basler Fasnacht,https://www.instagram.com/baslerfasnacht/,https://www.fasnacht-loerrach.de,0.9,Basel Fasnacht 2026 | by Comité Basler Fasnacht | on 2026-02-23 20:26:00 | in Innenstadt Basel
Jazz am See Titisee,2025-07-12 19:00:00,,,,Jazz Konzert / Open Air,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,20.0,70.0,18+,"Titisee, Schwarzwald",unknown,summer,Nein,Jazz- & Musikliebhaber,Kulturverein Hochschwarzwald,https://www.instagram.com/hochschwarzwald/,https://www.basel.com/en/events,0.8,"Jazz am See Titisee | by Kulturverein Hochschwarzwald | on 2025-07-12 19:00:00 | in Titisee, Schwarzwald"
Museumsnacht Weil am Rhein,2025-09-20 18:00:00,,,,Kultur / Museumsnacht,Nein,None,10.0,15.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,13+,Weil am Rhein (mehrere Museen),Weil am Rhein (DE),autumn,Ja,Kultur- & Museumsfreunde,Museen Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,Museumsnacht Weil am Rhein | by Museen Weil am Rhein | on 2025-09-20 18:00:00 | in Weil am Rhein (mehrere Museen)
Kunstmarkt Riehen,2025-09-28 10:00:00,,,,Kunstmarkt / Outdoor,Nein,None,,,,,,,,unknown,,,unknown,"Riehen, Schweiz",unknown,autumn,Nein,Kunstliebhaber & Familien,Kulturverein Riehen,https://www.instagram.com/kultur_riehen/,https://www.basel.com/en/events,0.8,"Kunstmarkt Riehen | by Kulturverein Riehen | on 2025-09-28 10:00:00 | in Riehen, Schweiz"
Food Truck Festival Basel,2025-10-10 20:25:00,,,,Street Food / Genuss Festival,Nein,Multigenre,,,CHF,,,10000.0,,large (>500),16.0,60.0,13+,"Basel, Kleinbasel",Basel (CH),autumn,Ja,Foodies & Festivalbesucher,Food Truck Festival Basel,https://www.instagram.com/foodtruckfestival/,https://www.basel.com/en/events,0.8,"Food Truck Festival Basel | by Food Truck Festival Basel | on 2025-10-10 20:25:00 | in Basel, Kleinbasel"
Weihnachtscircus Lörrach,2025-12-20 20:26:00,,,,Circus / Familienunterhaltung,Nein,None,20.0,60.0,EUR,paid,mid,,,unknown,,,unknown,Lörrach Messegelände,Lörrach (DE),winter,Ja,Familien & Circusliebhaber,Weihnachtscircus Lörrach,https://www.instagram.com/weihnachtscircus/,https://www.loerrach.de/veranstaltungen,0.9,Weihnachtscircus Lörrach | by Weihnachtscircus Lörrach | on 2025-12-20 20:26:00 | in Lörrach Messegelände
Jugendkulturfestival Weil am Rhein,2025-09-13 00:00:00,,,,Jugendkultur / Musik & Tanz / Workshop,Ja,None,,,EUR,,,500.0,5000.0,large (>500),12.0,30.0,6+,Innenstadt Weil am Rhein,Weil am Rhein (DE),autumn,Ja,Jugend & junge Erwachsene,Stadt Weil am Rhein,https://www.instagram.com/jugendkulturweil/,https://www.basel.com/en/events,0.8,Jugendkulturfestival Weil am Rhein | by Stadt Weil am Rhein | on 2025-09-13 00:00:00 | in Innenstadt Weil am Rhein
Winterzauber Bad Säckingen,2025-11-28 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,None,,,,,,300.0,2000.0,large (>500),,,unknown,Altstadt Bad Säckingen,unknown,autumn,Nein,Familien & Weihnachtsmarktbesucher,Stadt Bad Säckingen,https://www.instagram.com/badsaeckingen/,https://www.basel.com/en/events,0.8,Winterzauber Bad Säckingen | by Stadt Bad Säckingen | on 2025-11-28 20:25:00 | in Altstadt Bad Säckingen
Lichterfest Basel,2025-10-15 20:25:00,,,,Lichtkunst / Kunstfestival,Nein,Multigenre,,,CHF,,,10000.0,,large (>500),,,unknown,Innenstadt Basel,Basel (CH),autumn,Ja,Kunst- & Kulturfreunde,Stadt Basel Kulturamt,https://www.instagram.com/basellive/,https://www.basel.com/en/events,0.8,Lichterfest Basel | by Stadt Basel Kulturamt | on 2025-10-15 20:25:00 | in Innenstadt Basel
Fasnacht Kinderumzug Riehen,2026-02-24 14:00:00,,,,Fasnacht / Kinderumzug,Nein,None,,,,,,300.0,2000.0,large (>500),4.0,14.0,all ages,"Innenstadt Riehen, Schweiz",unknown,winter,Nein,Kinder & Familien,Fasnachtskomitee Riehen,https://www.instagram.com/riehen_kultur/,https://www.fasnacht-loerrach.de,0.9,"Fasnacht Kinderumzug Riehen | by Fasnachtskomitee Riehen | on 2026-02-24 14:00:00 | in Innenstadt Riehen, Schweiz"
Welthaus Freiburg – Weltkino & Vorträge,2025-09-20 20:25:00,,,,Film & Vorträge / Globalthemen,Ja,Swing/Balboa,5.0,10.0,EUR,paid,low,,,unknown,18.0,70.0,18+,Welthaus Freiburg,Freiburg (DE),autumn,Ja,Studierende & Kulturinteressierte,Welthaus Freiburg,https://www.instagram.com/welthaus_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Welthaus Freiburg – Weltkino & Vorträge | by Welthaus Freiburg | on 2025-09-20 20:25:00 | in Welthaus Freiburg
Winterlichter Freiburg,2025-12-01 20:25:00,,,,Weihnachtsmarkt & Lichtinstallation,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Freiburg,Freiburg (DE),winter,Ja,Weihnachts- & Kulturfreunde,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Winterlichter Freiburg | by Stadt Freiburg | on 2025-12-01 20:25:00 | in Innenstadt Freiburg
Freibaderöffnung Parkschwimmbad Lörrach,2025-05-19 00:00:00,,,,Outdoor / Schwimmbad-Event,Nein,None,5.0,10.0,EUR,paid,low,,,unknown,,,unknown,Parkschwimmbad Lörrach,Lörrach (DE),spring,Ja,Familien & Sportfreunde,Stadtwerke Lörrach / Parkschwimmbad,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,Freibaderöffnung Parkschwimmbad Lörrach | by Stadtwerke Lörrach / Parkschwimmbad | on 2025-05-19 00:00:00 | in Parkschwimmbad Lörrach
Impulsiv Lörrach – Freizeit & After Work Events,2025-09-18 00:00:00,,,,Freizeit / Sport / Social,Nein,None,5.0,20.0,EUR,paid,low,50.0,200.0,medium (100–500),16.0,50.0,13+,"Impulsiv Freizeitcenter, Lörrach",Lörrach (DE),autumn,Ja,Jugend & Erwachsene,Impulsiv Freizeitcenter Lörrach,https://www.instagram.com/impulsivloerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Impulsiv Lörrach – Freizeit & After Work Events | by Impulsiv Freizeitcenter Lörrach | on 2025-09-18 00:00:00 | in Impulsiv Freizeitcenter, Lörrach"
Fasnachts-Zunftabend Zänzeler e.V.,2026-02-07 20:00:00,,,,Fasnacht / Vereinsabend,Nein,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,13+,"Zänzeler Zunfthalle, Lörrach",Lörrach (DE),winter,Ja,Fasnacht- & Vereinsfreunde,Zänzeler Fasnachtsverein Lörrach,https://www.instagram.com/zanzeleclique/,https://www.fasnacht-loerrach.de,0.9,"Fasnachts-Zunftabend Zänzeler e.V. | by Zänzeler Fasnachtsverein Lörrach | on 2026-02-07 20:00:00 | in Zänzeler Zunfthalle, Lörrach"
Fasnachts-Seniorennachmittag Zänzeler,2026-02-08 14:00:00,,,,Fasnacht / Seniorennachmittag,Nein,None,,,EUR,,,300.0,2000.0,large (>500),60.0,,18+,"Zänzeler Zunfthalle, Lörrach",Lörrach (DE),winter,Ja,Senioren & Familien,Zänzeler Fasnachtsverein Lörrach,https://www.instagram.com/zanzeleclique/,https://www.fasnacht-loerrach.de,0.9,"Fasnachts-Seniorennachmittag Zänzeler | by Zänzeler Fasnachtsverein Lörrach | on 2026-02-08 14:00:00 | in Zänzeler Zunfthalle, Lörrach"
Schüler-Weihnachtskonzert Musikschule Lörrach,2025-12-18 18:30:00,,,,Schülerkonzert / Weihnachten,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Städtische Musikschule Lörrach,Lörrach (DE),winter,Ja,Familien & Musikfreunde,Musikschule Lörrach,https://www.instagram.com/musikschule_loerrach/,https://www.loerrach.de/veranstaltungen,0.9,Schüler-Weihnachtskonzert Musikschule Lörrach | by Musikschule Lörrach | on 2025-12-18 18:30:00 | in Städtische Musikschule Lörrach
Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk,2025-12-06 20:25:00,,,,Weihnachtsmarkt / Kunsthandwerk,Nein,None,,,,,,300.0,2000.0,large (>500),,,unknown,"St. Blasien, Schwarzwald",unknown,winter,Nein,Weihnachtsmarkt- & Kunstfreunde,Stadt St. Blasien,https://www.instagram.com/stblasien/,https://www.basel.com/en/events,0.8,"Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk | by Stadt St. Blasien | on 2025-12-06 20:25:00 | in St. Blasien, Schwarzwald"
Bad Bellingen Lichterzauber,2025-12-15 20:25:00,,,,Licht- & Winterevent,Nein,None,,,,,,,,unknown,,,unknown,Kurpark Bad Bellingen,unknown,winter,Nein,Familien & Winterbesucher,Tourismus Bad Bellingen,https://www.instagram.com/bad_bellingen/,https://www.basel.com/en/events,0.8,Bad Bellingen Lichterzauber | by Tourismus Bad Bellingen | on 2025-12-15 20:25:00 | in Kurpark Bad Bellingen
Basel Tattoo 2026,2026-07-18 00:00:00,,,,Musik / Show / Großveranstaltung,Nein,None,40.0,120.0,CHF,paid,high,,,unknown,,,unknown,Kaserne Basel,Basel (CH),summer,Ja,Musik- & Showfans,Basel Tattoo Productions,https://www.instagram.com/baseltattoo/,https://www.basel.com/en/events,0.8,Basel Tattoo 2026 | by Basel Tattoo Productions | on 2026-07-18 00:00:00 | in Kaserne Basel
